,Lookup,Name
0,Ab-soul,Ab Soul
1,Aesop-rock,Aesop Rock
2,Anderson-paak,Anderson Paak
3,Ace-hood,Ace Hood
4,Aceyalone,Aceyalone
5,Action-bronson,Action Bronson
6,Afroman,Afroman
7,Afu-ra,Afu Ra
8,Ahmad,Ahmad
9,Akala,Akala
10,Akinyele,Akinyele
11,Akon,Akon
12,The-alchemist,The Alchemist
13,Amg,Amg
14,Andre-nickatina,Andre Nickatina
15,Andy-mineo,Andy Mineo
16,Angel-haze,Angel Haze
17,Apache,Apache
18,Apathy,Apathy
19,Asher-roth,Asher Roth
20,Astronautalis,Astronautalis
21,Awkwafina,Awkwafina
22,Az,Az
23,Azealia-banks,Azealia Banks
24,Big-sean,Big Sean
25,Booba,Booba
26,Bryson-tiller,Bryson Tiller
27,Baby-bash,Baby Bash
28,Baby-boy-da-prince,Baby Boy Da Prince
29,Baeza,Baeza
30,Bahamadia,Bahamadia
31,Bas,Bas
32,Beanie-sigel,Beanie Sigel
33,Becky-g,Becky G
34,Bg,Bg
35,Big-boi,Big Boi
36,Big-daddy-kane,Big Daddy Kane
37,Big-krit,Big Krit
38,Big-l,Big L
39,Big-moe,Big Moe
40,Big-pun,Big Pun
41,Big-scoob,Big Scoob
42,Birdman,Birdman
43,Bishop-nehru,Bishop Nehru
44,Bizarre,Bizarre
45,Biz-markie,Biz Markie
46,Bizzy-bone,Bizzy Bone
47,Bj-the-chicago-kid,Bj The Chicago Kid
48,Black-milk,Black Milk
49,Black-rob,Black Rob
50,Blu,Blu
51,Bob,Bob
52,Bobby-brackins,Bobby Brackins
53,Bobby-shmurda,Bobby Shmurda
54,Bohemia,Bohemia
55,Bone-crusher,Bone Crusher
56,Boondox,Boondox
57,Boosie-badazz,Boosie Badazz
58,Bow-wow,Bow Wow
59,Da-brat,Da Brat
60,Brotha-lynch-hung,Brotha Lynch Hung
61,Brother-ali,Brother Ali
62,Bubba-sparxxx,Bubba Sparxxx
63,Bun-b,Bun B
64,Busdriver,Busdriver
65,Busta-rhymes,Busta Rhymes
66,Chance-the-rapper,Chance The Rapper
67,Chief-keef,Chief Keef
68,Childish-gambino,Childish Gambino
69,Chris-brown,Chris Brown
70,Common,Common
71,Cage,Cage
72,Camron,Camron
73,Canibus,Canibus
74,Capital-steez,Capital Steez
75,Cappadonna,Cappadonna
