,Unnamed: 0,0,Comp1,Comp2,ArtistCleaned,,Year1,YearGrouped
1,2,2-chainz,2.436722539,19.3666797,2 Chainz,Atlanta,2009,2000
2,3,2-pistols,-21.43068784,17.35988277,2 Pistols,Florida,2008,2000
3,4,21-savage,-1.205947624,31.62982532,21 Savage,Atlanta,2015,2010
4,5,2pac,6.461098082,-5.157632422,2pac,LA,1991,1990
5,6,360,-16.20665987,-8.165600985,360,Australia,2008,2000
6,7,50-cent,9.878149577,9.55108988,50 Cent,NYC,2000,2000
7,8,9th-wonder,12.22396668,-24.81566605,9th Wonder,North Carolina,2005,2000
8,9,A-ap-ant,4.503336262,29.83416128,A$SP Ant,NYC,2014,2010
9,10,A-ap-ferg,-3.006042643,17.13316597,A$SP Ferg,NYC,2013,2010
10,11,A-ap-mob,1.355205769,18.45042253,A$SP Mob,NYC,2012,2010
11,12,A-ap-nast,-27.41258589,20.00177111,A$SP Nast,NYC,2016,2010
12,13,A-ap-rocky,-0.306009214,15.92467443,A$SP Rocky,NYC,2013,2010
13,14,Ab-soul,-5.977197151,-2.495185501,Ab Soul,LA,2009,2000
15,16,Ace-hood,2.921452341,25.68882929,Ace Hood,,2008,2000
16,17,Aceyalone,7.331538814,-26.08189527,Aceyalone,,1995,1990
17,18,Action-bronson,-4.874043472,-6.578795996,Action Bronson,,2011,2010
18,19,Aesop-rock,-15.36733897,-14.79090635,Aesop Rock,,1997,1990
19,20,Afroman,-1.045642714,-12.23482313,Afroman,,2000,2000
20,21,Afu-ra,4.705616017,-20.61707804,Afu Ra,,2000,2000
21,22,Ahmad,6.690005359,-18.37367946,Ahmad,,1994,1990
22,23,Akala,-11.57734834,-18.37063392,Akala,,2004,2000
23,24,Akinyele,-3.763513266,-19.2615579,Akinyele,,1993,1990
24,25,Akon,24.91553318,1.535059202,Akon,,2004,2000
25,26,Amg,17.40664148,-0.754062659,Amg,,1992,1990
26,27,Anderson-paak,-17.44025261,6.872111862,Anderson Paak,,2013,2010
27,28,Andre-nickatina,14.35333336,-1.124013348,Andre Nickatina,,1993,1990
28,29,Andy-mineo,23.21220289,22.88817266,Andy Mineo,,2009,2000
29,30,Angel-haze,-13.57565924,-9.149970792,Angel Haze,,2011,2010
30,31,Angie-martinez,21.63706936,-4.604636702,Angie Martinez,,2001,2000
31,32,Apache,22.2248378,-7.007553594,Apache,,1992,1990
32,33,Apathy,-6.363256983,-24.59079343,Apathy,,2003,2000
33,34,Asher-roth,-18.12164444,-10.10865404,Asher Roth,,2006,2000
34,35,Astronautalis,-12.95881124,-13.26040307,Astronautalis,,2003,2000
35,36,Az,9.501989001,-13.05165937,Az,,1995,1990
36,37,Azealia-banks,-16.04309854,22.69440039,Azealia Banks,,2012,2010
37,38,Baby-bash,21.95223899,-0.795379071,Baby Bash,,2002,2000
38,39,Baby-boy-da-prince,12.02859633,13.19459627,Baby Boy Da Prince,,2007,2000
39,40,Baeza,-9.096747074,19.01692171,Baeza,,2013,2010
40,41,Bahamadia,0.333053321,-30.13084925,Bahamadia,,1996,1990
41,42,Bas,1.53947975,12.95428486,Bas,,2011,2010
42,43,Beanie-sigel,7.806569171,-9.322164136,Beanie Sigel,,2000,2000
43,44,Becky-g,-21.43730243,12.04075973,Becky G,,2013,2010
44,45,Beenie-man,3.509565027,3.732860033,Beenie Man,,1992,1990
45,46,Benzino,14.23470788,-9.093602931,Benzino,,2003,2000
46,47,Bg,19.56779129,10.89752576,Bg,,1995,1990
47,48,Big-boi,-0.81571837,15.99711726,Big Boi,,2010,2010
48,49,Big-d,-9.283493388,-19.48249728,Big D,,2012,2010
