,Artist,Median,Max,Min
0,Ab-soul,2012.0,2016,2009
1,Aesop-rock,2003.0,2016,1997
2,Anderson-paak,2015.0,2016,2013
3,Ace-hood,2013.0,2016,2008
4,Aceyalone,2002.0,2013,1995
5,Action-bronson,2012.0,2015,2011
6,Afroman,2004.0,2013,2000
7,Afu-ra,2002.0,2005,2000
8,Ahmad,1994.0,1994,1994
9,Akala,2013.0,2016,2004
10,Akinyele,1999.0,2004,1993
11,Akon,2007.0,2016,2004
12,The-alchemist,2012.0,2017,1993
13,Amg,1995.0,2000,1992
14,Andre-nickatina,2003.0,2013,1993
15,Andy-mineo,2013.0,2017,2009
16,Angel-haze,2013.0,2017,2011
17,Apache,1992.0,1992,1992
18,Apathy,2009.0,2017,2003
19,Asher-roth,2010.0,2014,2006
20,Astronautalis,2011.0,2016,2003
21,Az,2004.0,2015,1995
22,Azealia-banks,2014.0,2017,2012
23,Big-sean,2011.0,2017,2007
24,Booba,2009.5,2017,2002
25,Bryson-tiller,2015.0,2017,2011
26,Baby-bash,2005.0,2014,2002
27,Baby-boy-da-prince,2007.0,2007,2007
28,Baeza,2013.0,2015,2013
29,Bahamadia,1996.0,2001,1996
30,Bas,2014.0,2016,2011
31,Beanie-sigel,2005.0,2012,2000
32,Becky-g,2013.0,2013,2013
33,Bg,2000.0,2009,1995
34,Big-boi,2010.0,2012,2010
35,Big-daddy-kane,1991.0,1997,1988
36,Big-krit,2011.0,2016,2005
37,Big-l,2006.0,2013,1995
38,Big-moe,2000.0,2004,2000
39,Big-pun,2000.0,2011,1998
40,Big-scoob,2016.0,2016,2011
41,Birdman,2007.0,2016,2002
42,Bishop-nehru,2013.0,2016,2013
43,Bizarre,2005.0,2015,1998
44,Biz-markie,1991.0,2004,1986
45,Bizzy-bone,2006.0,2014,1998
46,Bj-the-chicago-kid,2014.0,2016,2009
47,Black-milk,2011.0,2016,2003
48,Black-rob,2000.0,2000,2000
49,Blu,2011.0,2015,2007
50,Bob,2012.0,2017,2007
51,Bobby-brackins,2016.0,2016,2010
52,Bobby-shmurda,2014.0,2014,2014
53,Bohemia,2012.0,2017,2006
54,Bone-crusher,2003.0,2007,2003
55,Boondox,2008.0,2017,2006
56,Boosie-badazz,2014.0,2016,2002
57,Bow-wow,2003.0,2012,2000
58,Da-brat,1996.0,2003,1994
59,Brotha-lynch-hung,2003.0,2016,1993
60,Brother-ali,2009.0,2017,2000
61,Bubba-sparxxx,2003.0,2016,2003
62,Bun-b,2008.0,2013,2005
63,Busdriver,2013.0,2015,1999
64,Busta-rhymes,2003.0,2015,1996
65,Chance-the-rapper,2013.0,2016,2012
66,Chief-keef,2015.0,2017,2011
67,Childish-gambino,2012.0,2016,2008
68,Chris-brown,2012.0,2017,2005
69,Common,2005.0,2016,1992
70,Cage,2005.0,2014,1998
71,Camron,2004.0,2016,1998
72,Canibus,2005.0,2015,1993
73,Capital-steez,2012.0,2016,2012
74,Cappadonna,2007.0,2016,1998
75,Casey-veggies,2012.0,2016,2007
76,Caskey,2015.0,2017,2011
77,Cassidy,2007.0,2012,2003
78,Ceelo-green,2010.0,2015,2002
79,Celly-cel,1998.0,2000,1994
80,Celph-titled,2006.0,2016,2006
81,Ceza,2006.0,2015,2002
82,Chamillionaire,2008.0,2013,2003
83,Chanel-west-coast,2013.0,2015,2013
84,Charles-hamilton,2010.0,2016,2007
85,Chevy-woods,2013.0,2016,2011
86,Chiddy-bang,2011.0,2012,2009
87,Chingy,2005.0,2007,2003
88,Chino-xl,2006.0,2016,1996
89,Chinx,2014.0,2016,2011
90,Chip,2012.0,2016,2007
