,0
0,Ab-soul
1,Aesop-rock
2,Anderson-paak
3,Ace-hood
4,Aceyalone
5,Action-bronson
6,Afroman
7,Afu-ra
8,Ahmad
9,Akala
10,Akinyele
11,Akon
12,The-alchemist
13,Amg
14,Andre-nickatina
15,Andy-mineo
16,Angel-haze
17,Apache
18,Apathy
19,Asher-roth
20,Astronautalis
21,Awkwafina
22,Az
23,Azealia-banks
24,Big-sean
25,Booba
26,Bryson-tiller
27,Baby-bash
28,Baby-boy-da-prince
29,Baeza
30,Bahamadia
31,Bas
32,Beanie-sigel
33,Becky-g
34,Bg
35,Big-boi
36,Big-daddy-kane
37,Big-krit
38,Big-l
39,Big-moe
40,Big-pun
41,Big-scoob
42,Birdman
43,Bishop-nehru
44,Bizarre
45,Biz-markie
46,Bizzy-bone
47,Bj-the-chicago-kid
48,Black-milk
49,Black-rob
50,Blu
51,Bob
52,Bobby-brackins
53,Bobby-shmurda
54,Bohemia
55,Bone-crusher
56,Boondox
57,Boosie-badazz
58,Bow-wow
59,Da-brat
60,Brotha-lynch-hung
61,Brother-ali
62,Bubba-sparxxx
63,Bun-b
64,Busdriver
65,Busta-rhymes
66,Chance-the-rapper
67,Chief-keef
68,Childish-gambino
69,Chris-brown
70,Common
71,Cage
72,Camron
73,Canibus
74,Capital-steez
75,Cappadonna
76,Casey-veggies
77,Caskey
78,Cassidy
79,Ceelo-green
80,Celly-cel
81,Celph-titled
82,Ceza
83,Chamillionaire
84,Chanel-west-coast
85,Charles-hamilton
86,Chevy-woods
87,Chiddy-bang
88,Chingy
89,Chino-xl
90,Chinx
91,Chip
92,Christopher-martin
93,Chris-webby
94,Chubb-rock
95,Cj-fly
96,Cl
97,Classified
98,Clyde-carson
99,C-murder
100,Consequence
101,Coolio
102,Cormega
103,Craig-mack
104,Crooked-i
105,Cyhi-the-prynce
106,Danny-brown
107,Denzel-curry
108,Desiigner
109,Dj-khaled
110,Drake
111,Dr-dre
112,Dan-bull
113,Dangelo
114,Dappy
115,Dave-east
116,Daveed-diggs
117,David-banner
118,David-dallas
119,Daz-dillinger
120,Dej-loaf
121,Del-the-funky-homosapien
122,Deniro-farrar
123,Derek-minor
