,0,1,2
7254,100,1000,0
10249,211,211s,1
10386,223,223s,1
7358,380,380s,1
6544,550,s550,0
1633,808,808s,1
357,911,9_11,1
5412,1000,0,0
5413,1000,100,0
3802,1978,1998,0
3803,1978,1988,0
5124,1980,1987,0
5125,1980,1988,0
5126,1980,1984,0
5127,1980,1983,0
5128,1980,1989,0
5129,1980,1982,0
7132,1982,1987,0
7133,1982,1988,0
7134,1982,1985,0
7135,1982,1992,0
7136,1982,1980,0
7137,1983,1987,0
5117,1985,1982,0
5118,1985,1988,0
5119,1985,1995,0
5120,1985,1984,0
5121,1985,1987,0
5122,1985,1989,0
5123,1985,1986,0
5115,1986,1996,0
5116,1986,1988,0
7127,1987,1982,0
7128,1987,1988,0
7129,1987,1983,0
7130,1987,1980,0
5131,1988,1987,0
5132,1988,1998,0
5133,1989,1988,0
5134,1989,1985,0
5135,1989,1980,0
5136,1989,1986,0
10102,1990,1997,0
10103,1990,1991,0
10104,1990,1992,0
10105,1990,1995,0
10106,1990,1998,0
792,1991,1996,0
793,1991,1992,0
794,1991,1990,0
4542,1992,1995,0
4543,1992,1991,0
4544,1992,1996,0
4545,1992,1998,0
795,1995,1992,0
796,1995,1996,0
4546,1996,1991,0
4547,1996,1992,0
4548,1996,1986,0
4549,1996,1995,0
3921,1997,1990,0
4550,1998,1992,0
4551,1998,1988,0
4552,1998,1990,0
4553,1998,1991,0
4554,1998,1995,0
798,1999,9999,0
799,1999,1991,0
800,1999,1995,0
801,1999,1990,0
802,1999,1997,0
803,1999,1996,0
804,1999,1998,0
805,1999,1992,0
10813,2000,2003,0
10814,2000,2001,0
10815,2000,2002,0
10816,2000,2010,0
10817,2000,2006,0
10818,2000,2004,0
10819,2000,2009,0
10820,2001,2003,0
10821,2001,2000,0
10822,2001,2005,0
10823,2001,2002,0
10824,2001,2008,0
10825,2001,2009,0
10802,2002,2003,0
10803,2002,2008,0
10804,2002,2006,0
10805,2002,2001,0
10806,2002,2000,0
10807,2003,2001,0
10808,2003,2002,0
10809,2003,2000,0
10810,2003,2006,0
10811,2003,2009,0
10812,2003,2005,0
10834,2004,2006,0
10835,2004,2002,0
10836,2004,2008,0
10837,2004,2014,0
10838,2004,2000,0
10839,2004,2009,0
10840,2004,2001,0
10841,2005,2001,0
10842,2005,2003,0
10843,2005,2002,0
10826,2006,2003,0
10827,2006,2002,0
10828,2006,2007,0
10829,2006,2009,0
10830,2006,2000,0
10831,2006,2004,0
10832,2006,2008,0
10833,2007,2006,0
10844,2008,2002,0
10845,2008,2001,0
10846,2009,2006,0
10847,2009,2001,0
10848,2009,2003,0
10849,2009,2008,0
10850,2009,2002,0
6367,2010,2015,0
6368,2010,2014,0
6369,2010,2000,0
6370,2010,2011,0
6366,2011,2010,0
6375,2012,2011,0
6376,2012,2015,0
6377,2012,2014,0
6378,2012,2010,0
6379,2012,2013,0
6371,2013,2014,0
6372,2013,2016,0
6373,2013,2015,0
6374,2013,2003,0
6359,2014,2010,0
6360,2014,2004,0
6361,2014,2013,0
6362,2014,2012,0
6363,2014,2016,0
3634,2015,2010,0
3635,2015,2012,0
3636,2015,2013,0
3637,2015,2011,0
3638,2015,2014,0
6364,2016,2013,0
6365,2016,2014,0
6837,[verse,{verse,0
489,{_2x,{_4x,0
490,{_2x,{_3x,0
7822,{_3x,{_2x,0
7823,{_3x,{_4x,0
9541,{_4x,{_2x,0
9542,{_4x,{_3x,0
6978,{_scratch,{_scratching,0
2740,{_scratched,{_scratching,0
2741,{_scratched,{_scratch,1
4860,{_scratching,{_scratched,0
4861,{_scratching,{_scratch,0
2951,{big,+big,0
