,word,frequency
0,,6266.0
1,fawk,11.0
2,woods,391.0
3,spiders,32.0
4,woody,54.0
5,sevens,58.0
6,lench,3.0
7,canes,30.0
8,scold,23.0
9,igual,14.0
10,originality,28.0
11,hallucinate,15.0
12,pigment,31.0
13,hearin,1240.0
14,taj,28.0
15,broward,33.0
16,niggerish,15.0
17,wooden,84.0
18,wednesday,172.0
19,tambin,15.0
20,circuitry,15.0
21,crotch,116.0
22,stereotypical,12.0
23,red_beam,94.0
24,lisas,12.0
25,scrapes,22.0
26,scraper,94.0
27,sooth,16.0
28,selassie,58.0
29,scraped,43.0
30,saddams,12.0
31,joell,37.0
32,defenses,22.0
33,fonzie,18.0
34,slikk,11.0
35,designing,26.0
36,hallucinating,34.0
37,succumb,42.0
38,shocks,57.0
39,nawf,87.0
40,poo_poo,34.0
41,crouch,20.0
42,chins,26.0
43,brainwashed,72.0
44,affiliates,22.0
45,naww,24.0
46,ching,92.0
47,china,195.0
48,kurupt,216.0
49,affiliated,117.0
50,chino,165.0
51,chink,20.0
52,gold_medal,36.0
53,double_cup,301.0
54,uplifting,17.0
55,kumbaya,13.0
56,oxymoron,24.0
57,kidd,58.0
58,natures,41.0
59,golden,809.0
60,stern,46.0
61,stere,11.0
62,few_years,118.0
63,catchy,25.0
64,insecurity,35.0
65,cannibal,152.0
66,music,7808.0
67,therefore,239.0
68,violently,43.0
69,hollow_tip,338.0
70,sermons,24.0
71,an_infant,48.0
72,ratatat,26.0
73,populations,15.0
74,mesmerize,11.0
75,yahoo,23.0
76,echelon,22.0
77,unpack,14.0
78,circumstances,96.0
79,listenin,1820.0
80,intake,19.0
81,morally,22.0
82,locked,2746.0
83,locker,142.0
84,locket,23.0
85,hundred_dollar,323.0
86,twelve_years,43.0
87,coulda,433.0
88,wana,57.0
89,wang,65.0
90,wand,64.0
91,hyatt,13.0
92,unjust,19.0
93,wann,49.0
94,riguarda,11.0
95,pooper,20.0
96,want,42550.0
97,cookers,13.0
98,pinto,30.0
99,cocksucker,48.0
100,absolute,85.0
101,duniya,26.0
102,mc_hammer,66.0
103,bredda,11.0
104,travel,976.0
105,playback,31.0
106,golden_child,44.0
107,canaries,29.0
108,cadence,53.0
109,record_execs,27.0
110,flossin,522.0
111,antidope_antidope,16.0
112,dinosaurs,35.0
113,wrong,7809.0
114,sentencing,12.0
115,feelings_hurt,54.0
116,domed,12.0
