,Comp1,Comp2,Word,Topic
1,8.385531022,15.44898618,music,rap
2,-25.37361452,2.591595444,locked,Other
3,9.359055057,4.253342013,want,Other
4,17.5060853,16.94984251,wrong,Other
5,7.638189395,4.762636279,tired_of,Other
6,10.48657908,-6.037488393,fit,Other
7,-15.54487444,-11.7193749,mouth,Other
8,19.30147656,-9.051550771,scream,Other
9,-5.002315353,9.853142338,rich,money
10,12.8906991,-0.4208142555,ask,Other
11,6.181622103,-13.95726518,lookin,Other
12,5.862561905,2.209374381,much,Other
13,7.975841169,20.95200485,spit,rap
14,20.17733259,0.1576549205,had,Other
15,16.08331292,-2.042979458,has,Other
16,10.86997354,18.46537461,crowd,Other
17,-25.73396223,-3.874577974,bottom,Other
18,-20.54888097,7.244217031,roll,cars
19,-13.64502618,-6.251246977,chain,clothes
20,-9.737811057,2.278554192,minute,Other
21,-0.3728379403,-3.388446359,one,Other
22,21.40908667,-2.64522438,turned,Other
23,-10.1659115,4.840205928,pimpin,Other
24,-8.56275303,1.926254402,pimp,men
25,3.308093719,-11.57776872,vision,Other
26,-15.36858167,19.93157545,s,drugs
27,-9.645384828,-6.085577553,runnin,violence
28,4.241008976,4.085581613,nothin,Other
29,5.528985386,-10.55743578,world,Other
30,0.5281492537,0.8812374946,with,Other
31,-21.82774875,-4.210203123,pull,cars
32,-2.296478403,2.42998552,dirty,Other
33,3.60316798,-11.1522556,past,Other
34,-18.96228176,8.61911149,pass,drugs
35,-0.5805750907,2.295853672,full,Other
36,-9.048945836,22.25481935,countin,money
37,6.29332899,7.344238151,more,Other
38,-19.96945662,-8.108151528,door,Other
39,13.96253756,16.70263636,learn,Other
40,-5.082838442,21.48496799,paper,money
41,2.783767423,-5.15116195,everytime,Other
42,2.442340117,21.15018358,sell,money
43,-1.779400694,-4.593269044,last,Other
44,19.85822583,12.34034164,tryin,Other
45,9.111715343,-7.151782717,lady,women
46,-0.7982103463,22.90212231,couple,Other
47,-2.944375008,4.881820098,goddamn,curses
48,-17.53307332,2.119144602,bounce,Other
49,-4.817102721,0.4350436813,into,Other
50,-6.199567775,-13.25059051,land,Other
51,-2.881924115,-4.071903119,next,Other
52,9.004091399,-6.989494298,baby,women
53,-22.67253658,-2.322126399,lock,neighborhood
54,-4.172574844,14.43978228,perfect,Other
55,22.34084526,5.324045722,could,Other
56,-3.000071908,-6.809825551,scene,Other
57,-20.73792202,16.44521869,tonight,club
58,3.317368004,17.13012994,rapper,rap
59,-1.90357502,2.039529561,off,Other
60,-11.25819504,-1.525075774,wet,sex
61,29.74461106,-11.23305489,problem,Other
62,-4.418795902,14.63771649,worth,Other
63,-2.4109301,7.454295119,bro,men
64,10.93433422,9.058991422,safe,Other
65,-14.64206643,20.43001274,l,drugs
66,-3.804607947,-0.0540499361,another,Other
67,9.788648733,18.72679481,mic,rap
68,-4.865251037,-12.81948472,away,Other
69,-17.15614287,4.667367625,kitchen,drugs
70,-2.271457381,1.168851201,full_of,Other
71,-10.7156978,-11.45553846,hang,Other
72,-7.483601396,-15.1127111,hand,Other
73,-5.605740302,-8.171984898,night,Other
74,-5.849783706,10.82481166,born,Other
75,5.814950556,19.30020982,test,Other
76,0.6727904527,9.262429012,},Other
77,-17.75459289,-11.03490079,gun,violence
78,9.360624762,-10.94701583,guy,men
79,-4.842692828,15.03569469,cost,Other
80,19.23299846,-7.350247546,screamin,Other
81,5.594331505,-9.717226934,brain,Other
82,0.3975832026,-13.10637415,lyin,Other
83,4.274707835,-3.016443658,not,Other
84,1.580142573,0.4402837207,now,Other
85,-26.12075295,-1.80098027,drop,Other
86,1.655470432,10.3439559,yeah,Other
87,14.47958547,0.1631468143,year,Other
88,1.453810376,-13.07661462,blind,Other
89,-12.93340621,-5.230593672,ring,clothes
90,-5.71975837,-11.79770669,tomorrow,Other
91,5.325811365,8.797685582,caught,Other
92,4.750117398,-18.02882876,steady,Other
